,symbol
1894,CYD
1895,CYH
1896,CYRN
1897,CYRX
1898,CYRXW
1899,CYTK
1900,CZA
1901,CZNC
1902,CZR
1903,CZWI
1904,CZZ
1905,D
1906,DAC
1907,DADA
1908,DAIO
1909,DAKT
1910,DAL
1911,DALI
1912,DALT
1913,DAN
1914,DAO
1915,DAR
1916,DARE
1917,DAUD
1918,DAUG
1919,DAVA
1920,DAX
1921,DB
1922,DBA
1923,DBAW
1924,DBB
1925,DBC
1926,DBCP
1927,DBD
1928,DBE
1929,DBEF
1930,DBEH
1931,DBEM
1932,DBEU
1933,DBEZ
1934,DBGR
1935,DBI
1936,DBJP
1937,DBL
